Rank	ACNo	CandidateName	PartyAbbreviation	VotesPolled	PercVotesPolled
10	60	MOOVENDAN. M	ntk	588	0.28
11	60	SARAVANAN. K	YSP	293	0.14
12	60	MUNIRAJ. M	IND	287	0.14
13	60	SUNDARAMOORTHY. M	IJK	270	0.13
14	60	RAGU. V	IND	204	0.1
15	60	DHANAPAL. R	SP	164	0.08
1	61	R.MURUGAN	ADMK	64568	33.96
2	61	S.RAJENDRAN	DMK	53147	27.95
3	61	K.GOVINDHASAMY	VCK	33632	17.69
4	61	S.MURALI	PMK	27747	14.59
5	61	K.SURULIRAJAN	KMDK	3500	1.84
6	61	None of the Above	NOTA	2092	1.1
7	61	P.VEDIYAPPAN	BJP	1948	1.02
8	61	A.KARTHIK	BSP	762	0.4
9	61	K.RAMESH	ntk	627	0.33
10	61	S.AGILA	IND	558	0.29
11	61	R.GOVINDAN	IND	510	0.27
12	61	K.RAJENDIRAN	IND	433	0.23
13	61	M.GOVINDASAMY	IND	317	0.17
14	61	S.KUMAR	IND	293	0.15
1	62	GIRI .M.P	DMK	95939	45.6
2	62	DINAKARAN. M	ADMK	83248	39.57
3	62	MURUGAN. C	PMK	15114	7.18
4	62	KALAIYARASI .A	DMDK	8007	3.81
5	62	None of the Above	NOTA	1403	0.67
6	62	DINAKARAN. S	IND	1255	0.6
7	62	DINAKARAN. H	IND	1151	0.55
8	62	BASKARAN. M.R	BSP	948	0.45
9	62	KARUPPAN. V	BJP	884	0.42
10	62	VENNILA.S	ntk	666	0.32
11	62	MURUGAN. R	IND	425	0.2
12	62	SUGUMAR. S	IND	413	0.2
13	62	PANDU. M	GMI	313	0.15
14	62	KASI. G	IND	235	0.11
15	62	ANBAZHAGAN. S	VVIP	209	0.1
16	62	KRISHNAVENI.P	SP	193	0.09
1	63	"VELU,E.V."	DMK	116484	57.15
2	63	"RAJAN,K"	ADMK	66136	32.45
3	63	"PANDIAN,L"	PMK	7916	3.88
4	63	"MANIKANDAN,S"	DMDK	5075	2.49
5	63	"VENKATACHALAPATHI,K"	BJP	1935	0.95
6	63	None of the Above	NOTA	1803	0.88
7	63	"KAMALAKKANNAN,J"	ntk	1686	0.83
8	63	"JAMEEL BASHA,J"	IND	507	0.25
9	63	"RAJAN,K"	IND	362	0.18
10	63	"SUGUNA PANDIAN,A.R."	IND	303	0.15
11	63	"SIVAPRAKASH,K"	BSP	268	0.13
12	63	"LAKSHMANADOSS,K"	IND	181	0.09
13	63	"KOTHANDAPANI,B"	IND	173	0.08
14	63	"RAJARAM,G"	GokMK	155	0.08
15	63	"SANTHI,E"	IND	151	0.07
16	63	"SELVAM,K"	IND	127	0.06
17	63	"JAYAKANTHAN,K"	GMI	127	0.06
18	63	"SINUVASAN,R"	IND	94	0.05
19	63	"SAKTHIVEL,P"	IND	90	0.04
20	63	"VENKATESAN,A"	SP	89	0.04
21	63	"MUNIYAMMAL,J"	IND	87	0.04
22	63	"GANESHKUMAR,M"	IND	76	0.04
1	64	PITCHANDI K	DMK	99070	50.22
2	64	SELVAMANI K	ADMK	64404	32.64
3	64	EDIROLIMANIAN G	PMK	20737	10.51
4	64	JOTHI K	CPI	4613	2.34
5	64	DEVENDIRAN S	BSP	1273	0.65
6	64	SUBBARAYAN M	BJP	1209	0.61
7	64	None of the Above	NOTA	1164	0.59
8	64	RAJANGAM M	IND	798	0.4
9	64	RAMESHBABU R	ntk	776	0.39
10	64	PADAVETTAN M	IND	587	0.3
11	64	DURAIRAJ A	IND	460	0.23
12	64	SAMIKKANNU P	IND	424	0.21
13	64	MURUGAN M	IND	410	0.21
14	64	SAMPATHRAJ M	IND	298	0.15
15	64	ELUMALAI A R	IND	286	0.14
16	64	SUGUNA PANDIAN A R	IND	252	0.13
17	64	KANAGAVALLI A	GokMK	233	0.12
18	64	SASIKUMAR S	IND	167	0.08
19	64	SAMPATH P	SP	126	0.06
1	65	PANNEERSELVAM V	ADMK	84394	45.41
2	65	KUMAR G	INC	57980	31.2
3	65	KALIDASS R	PMK	23825	12.82
4	65	NEHRU M	DMDK	9932	5.34
5	65	None of the Above	NOTA	1510	0.81
6	65	RAJAPRABU P	IND	1387	0.75
7	65	RAJKUMAR E	IND	1047	0.56
8	65	PANNEERSELVAM V	IND	840	0.45
9	65	BALAJI .E	ntk	776	0.42
10	65	MURUGAN M	IND	730	0.39
11	65	SAKTHIVEL S	BSP	723	0.39
12	65	MURUGADASS K	IJK	520	0.28
13	65	PANNEERSELVAM V	IND	487	0.26
14	65	GUNASEKARAN M	IND	345	0.19
15	65	PANNEERSELVAM B	IND	336	0.18
16	65	KUMAR S	IND	283	0.15
17	65	PRADEESHKUMAR R	SP	271	0.15
18	65	PALANI N	IND	242	0.13
19	65	LAKSHMANAN K	IND	231	0.12
1	66	SEKARAN.K.V	DMK	66588	34.02
2	66	MURUGAN.M	ADMK	58315	29.8
3	66	ELUMALAI.C	IND	38861	19.86
4	66	VELAYUTHAM.A	PMK	17184	8.78
5	66	SELVAN.P	CPM	5000	2.55
6	66	DHASHANAMOORTHY.A	IND	1858	0.95
7	66	TAMILARASI.D	BJP	1232	0.63
8	66	None of the Above	NOTA	1230	0.63
9	66	VELAUTHAM.M	IND	847	0.43
10	66	KANDAN.P	ntk	624	0.32
11	66	DURAIRAJ.M	IND	612	0.31
12	66	ELUMALAI.A	IND	581	0.3
13	66	RAMACHANDIRAN.M	GokMK	573	0.29
14	66	DEVADASS.M	BSP	571	0.29
15	66	ELUMALAI.C	IND	490	0.25
16	66	VIJAYAKUMAR.B	RPI	424	0.22
17	66	MURUGAN.M	IND	289	0.15
18	66	VIJAYAN.D	VVIP	235	0.12
19	66	SUGUNA.A	SP	200	0.1
1	67	"RAMACHANDRAN, S"	ADMK	94074	44.89
2	67	"BABU, S"	DMK	86747	41.4
3	67	"RAJASEKAR, S"	PMK	12877	6.15
4	67	"BABU MURUGAVEL, R.M"	DMDK	7025	3.35
5	67	None of the Above	NOTA	1749	0.83
6	67	"GOPI, P"	BJP	1304	0.62
7	67	"MOHANRAJ, J"	ntk	872	0.42
8	67	"RAMACHANDRAN, S"	IND	704	0.34
9	67	"SEKAR, K"	GokMK	607	0.29
10	67	"VENKATESAN, S"	IND	539	0.26
11	67	"SUMATHI, S"	IND	453	0.22
12	67	"GANESAN, A"	BSP	413	0.2
13	67	"PALANI, P"	IND	373	0.18
14	67	"SAKTHIVEL , S"	IND	354	0.17
15	67	"ASHOKKUMAR, A"	IND	272	0.13
16	67	"BABU, S"	IND	180	0.09
17	67	"RAMACHANDRAN, V"	IND	163	0.08
18	67	"SASI, P"	IND	159	0.08
19	67	"EKAMBARAM, V"	IND	151	0.07
20	67	"JANAKIRAMAN, M"	SP	147	0.07
21	67	"JAYACHANDRAN, S"	IND	145	0.07
22	67	"MANI, D"	SaSP	127	0.06
23	67	"VELU, P"	VVIP	110	0.05
1	68	MOHAN K	ADMK	77766	37.78
2	68	DR. VISHNUPRASAD M K	INC	69239	33.64
3	68	SRINIVASAN G	PMK	37491	18.22
4	68	SARVANAN P	DMDK	10855	5.27
5	68	BHASKARAN.B	BJP	2388	1.16
6	68	None of the Above	NOTA	2248	1.09
7	68	MOHAN K	IND	1300	0.63
8	68	VELAYUTHAM T	IND	1080	0.52
9	68	RAJESH S	ntk	974	0.47
10	68	MOHAN A	IND	532	0.26
11	68	AMUTHA P	IND	491	0.24
12	68	SRIDHAR S	IND	443	0.22
13	68	SOUNDARAPANDIYAN S	IND	295	0.14
14	68	RAVI G	SP	287	0.14
15	68	MATHI K	IND	282	0.14
16	68	PREMKUMAR P	IND	142	0.07
1	69	"AMBETHKUMAR, S"	DMK	80206	44.2
2	69	"MEGANATHAN, V"	ADMK	62138	34.24
3	69	VADIVELRAVANAN	PMK	24277	13.38
4	69	"METHARAMESH, M.K"	VCK	7745	4.27
5	69	None of the Above	NOTA	2421	1.33
6	69	"SUDHA, J"	IJK	1079	0.59
7	69	"PONNAN, T"	BSP	862	0.47
8	69	"RAVI, C"	IND	743	0.41
9	69	"NEELAKANDAN, C"	ntk	685	0.38
10	69	"MEGANATHAN, M"	IND	607	0.33
11	69	"JAGAN, S"	IND	319	0.18
12	69	"PARTHASARATHI, J"	IND	214	0.12
13	69	"RAMAMOORTHI, M"	SP	180	0.1
1	70	MASTHAN K S	DMK	88440	43.99
2	70	GOVINDASAMY A	ADMK	66383	33.02
3	70	GANESH KUMAR A	PMK	28515	14.18
4	70	MANI A K	MDMK	10672	5.31
5	70	None of the Above	NOTA	2326	1.16
6	70	RAJENDIRAN M S	BJP	1443	0.72
7	70	LOGANATHAN K	IND	1151	0.57
8	70	DHANASEKAR R	ntk	581	0.29
9	70	MASTHAN B	IND	567	0.28
10	70	GANESAN P	IND	291	0.14
11	70	POYYATHAPPAN K	IND	198	0.1
12	70	SENJE RAJA KNK	IND	126	0.06
13	70	GOPI S	IND	124	0.06
14	70	DEVANATHAN R	VVIP	117	0.06
15	70	GOVINDAN A	IND	90	0.04
1	71	MASILAMANI R	DMK	70880	41.4
2	71	ANNADURAI K	ADMK	58574	34.21
3	71	RAJASHEKARAN VR	PMK	25711	15.02
4	71	BALAJI SS	VCK	10866	6.35
5	71	None of the Above	NOTA	1722	1.01
6	71	RAJASEKAR J	IND	753	0.44
7	71	VIDJEALATCHOUMY S	ntk	672	0.39
8	71	STEPHANRAJ S	BSP	583	0.34
9	71	GNANASEKAR E	IND	445	0.26
10	71	SUNDARAMURTHY C	IND	385	0.22
11	71	RAMADEVI R	IJK	315	0.18
12	71	ARUL N	IND	210	0.12
13	71	ELAIYARAJA P	IND	95	0.06
1	72	SEETHAPATHY P	DMK	61879	35.33
2	72	RAJENDRAN S P	ADMK	61778	35.27
3	72	KALIDOSS A	PMK	29848	17.04
4	72	UDHAYAKUMAR M	DMDK	14928	8.52
5	72	None of the Above	NOTA	2112	1.21
6	72	POOVAZHAGI B	BJP	1509	0.86
7	72	BHUVANESHWARI G	ntk	908	0.52
8	72	VISWANATHAN S A	AIPMK	716	0.41
9	72	KARTHICK R	IND	489	0.28
10	72	GOVINDASAMY A	BSP	396	0.23
11	72	MEERA K	IND	392	0.22
12	72	CHANDRASEKARAN M	IND	195	0.11
1	73	CHAKRAPANI M	ADMK	64167	36.79
2	73	MYDILI R	DMK	53944	30.93
3	73	SANKAR P	PMK	27240	15.62
4	73	RAVIKUMAR D	VCK	23873	13.69
5	73	THIRUSELVAKUMAR D	BJP	1716	0.98
6	73	None of the Above	NOTA	1430	0.82
7	73	LATCHOUMY M	ntk	797	0.46
8	73	KANNABIRAN V	BSP	595	0.34
9	73	SELVAKUMARI E	IND	451	0.26
10	73	ELAMURUGAN V	IND	215	0.12
1	74	SHANMUGAM C VE	ADMK	69421	36.74
2	74	AMEER ABBAS S M	IUML	47130	24.94
3	74	PALANIVEL P	PMK	36456	19.29
4	74	VENGATESAN L	DMDK	24907	13.18
5	74	JAYAKUMAR RAMA	BJP	2188	1.16
6	74	None of the Above	NOTA	1701	0.9
7	74	SUBRAMANI K	ntk	1231	0.65
8	74	MUGAMADHU ALI JINNA M	IND	841	0.45
9	74	VENKATESAN A	IND	801	0.42
10	74	PALANIVEL P	IND	578	0.31
11	74	DINESH G	IND	461	0.24
12	74	KALIAMOORTHY G KARUNCHIRUTHAI	BSP	456	0.24
13	74	SHANMUGAM V C	IND	370	0.2
14	74	SHANMUGAM P	IND	357	0.19
15	74	SULTHAN MOIDEEN D	IND	294	0.16
16	74	JEYACHANDRAN J	GMI	265	0.14
17	74	MURUGAN K	IND	230	0.12
18	74	ANANDHBABU A	IND	215	0.11
19	74	MEENAKSHI V	IND	182	0.1
20	74	RAMAKRISHNAN R	SP	180	0.1
21	74	VENKATESH  KUMAR  K	IND	165	0.09
22	74	VICTOR A S	IND	161	0.09
23	74	SHANMUGAM K	IND	140	0.07
24	74	INIYADHAYALAN G	IND	122	0.06
25	74	SHANMUGAM A	IND	112	0.06
1	75	RATHAMANI.K	DMK	63757	35.69
2	75	VELU R	ADMK	56845	31.82
3	75	ANBUMANI. C	PMK	41428	23.19
4	75	RAMAMURTHY R	CPM	9981	5.59
5	75	None of the Above	NOTA	1385	0.78
6	75	AADHAVAN. S	BJP	1291	0.72
7	75	MUTHUKUMARASAMY. S	IND	699	0.39
8	75	SARAVANAKUMAR. S	ntk	594	0.33
9	75	VELU. K	IND	522	0.29
10	75	MURUGADOSS A	BSP	467	0.26
11	75	NAVANEETHAM. R	IND	396	0.22
12	75	THANGARASU. K	IND	394	0.22
13	75	VELU. K	IND	215	0.12
14	75	MANIVANNAN. T	IND	192	0.11
15	75	RAVICHANDRAN. A	SP	157	0.09
16	75	PERUMAL. B	IND	125	0.07
17	75	KALIYAPERUMAL. G	IND	119	0.07
18	75	ATCHUTHAN S	IND	70	0.04
1	76	PONMUDY K	DMK	93837	49.8
2	76	GOTHANDARAMAN G	ADMK	52780	28.01
3	76	BALASAKTHI	PMK	18822	9.99
4	76	GANESH G	TMC(M)	15045	7.98
5	76	None of the Above	NOTA	2110	1.12
6	76	RAJESH	IND	1473	0.78
7	76	DHANDAPANI S	BJP	1178	0.63
8	76	RAJASEKAR D	ntk	732	0.39
9	76	VINOTH S	IND	504	0.27
10	76	PALANIVEL S	IND	461	0.24
11	76	GANESH S	IND	375	0.2
12	76	THAMILSELVI D	IND	347	0.18
13	76	SAPTHAGIRI T	IND	306	0.16
14	76	SURESH	IND	246	0.13
15	76	ARULNEHRU V	IND	222	0.12
1	77	"KUMARAGURU, R."	ADMK	81973	36.04
2	77	"VASANTHAVEL, G.R."	DMK	77809	34.21
3	77	VIJAYKANT	DMDK	34447	15.14
4	77	"BALU, K."	PMK	20233	8.89
5	77	"SARAVANAN, G.V."	IND	2657	1.17
6	77	"SHANMUGAM, P."	IND	1791	0.79
7	77	"ARUMUGAM, E"	IND	931	0.41
8	77	"VIJAYAKANTH, A."	IND	872	0.38
9	77	"CHANDRASEKARAN, N."	BSP	856	0.38
10	77	None of the Above	NOTA	829	0.36
11	77	AGNI SRIRAMACHANDRAN	IND	538	0.24
12	77	"DESINGH, S."	ntk	524	0.23
13	77	"BAKKIIYALAKSHMI, K."	IND	516	0.23
14	77	"RAJASEKARAN, K."	IND	505	0.22
15	77	"ARIGOVINDHAN, T."	IND	458	0.2
16	77	"BALU, P."	IND	363	0.16
17	77	"KUMARAGURU, D."	IND	343	0.15
18	77	"RAMALINGAM, G."	KMDK	310	0.14
19	77	"RAJENDRAN, S."	IJK	293	0.13
20	77	"ARASAN, K."	IND	280	0.12
21	77	"VENKATESAN, M."	CPI(ML)(L)	274	0.12
22	77	"VIJAYAKANTH, S."	IND	181	0.08
23	77	"PADMARAJAN, DR.K."	IND	166	0.07
24	77	"SURIYA PRAKASH, M."	VTIP	126	0.06
25	77	RAHAMATHULLAH SHARIFF	IND	107	0.05
26	77	"MANOKARAN, D."	IND	94	0.04
1	78	KARTHIKEYAN.K	DMK	92607	47.08
2	78	DHANDAPANI.K	ADMK	72104	36.66
3	78	VINCENT JAYARAJ.VJP	DMDK	14239	7.24
4	78	PANDIYAN.KP	PMK	8148	4.14
5	78	BARATH.S	IND	1710	0.87
6	78	RAPHAEL RAJ.C	IND	1090	0.55
7	78	CHANDRASEKARAN.V	IND	1022	0.52
8	78	SAKTHIVEL.S	BSP	918	0.47
9	78	None of the Above	NOTA	867	0.44
10	78	MUNIYAN.K	ntk	782	0.4
11	78	JAYARAMAN.S	IND	630	0.32
12	78	SANDHANAM.M	IND	513	0.26
13	78	KARTHIK.R	IND	494	0.25
14	78	SENTHILKUMAR.M	IJK	406	0.21
15	78	DHANDAPANI.D	IND	322	0.16
16	78	ELUMALAI.N	VVIP	239	0.12
17	78	KAMALAKANNAN.M	IND	212	0.11
18	78	RADHAKRISHNAN.C	IND	186	0.09
19	78	SHANKAR.S	YSP	119	0.06
20	78	ANBAZHAGAN.M	IND	89	0.05
1	79	UDHAYASURIYAN.T	DMK	90920	44.72
2	79	MOHAN P	ADMK	76392	37.58
3	79	SIVARAMAN S	PMK	13612	6.7
4	79	GOVINTHAN.R	DMDK	13343	6.56
5	79	RAJENDRAN S	KMDK	1189	0.58
6	79	MOORTHY M K	IND	1181	0.58
7	79	ABDUL GAFOOR.G	SDPI	1141	0.56
8	79	None of the Above	NOTA	1032	0.51
9	79	RAJAMANI V	IND	955	0.47
10	79	SANKAR S	ntk	663	0.33
11	79	MANNAN M P	BSP	572	0.28
12	79	ARUMUGAM P	IND	541	0.27
13	79	SARATHI K	IJK	315	0.15
14	79	MARIKANNU A	IND	314	0.15
15	79	DHANAM K	RPI	275	0.14
16	79	SENTHIL MURUGAN P	IND	228	0.11
17	79	JAYAPRAKASH K	IND	223	0.11
18	79	ARASU A	IND	221	0.11
19	79	OVIYAR ANANDH C	LJP	178	0.09
